NVDA
IBKR
OXY
FISV
PAYX
FANG
FICO
LPLA
LITE
XYZ
ULTA
RJF
VICI
TDY
NTRA
HSY
FTAI
EXR
HAL
NRG
DOV
CFG
MTD
EL
HPE
NTRS
TSCO
VEEV
DTE
CBOE
DXCM
AEE
EXPE
MDB
PPG
ATO
STLD
FIS
VRSK
HUBB
RF
SYF
SOFI
CNP
PPL
TPR
IRM
BIIB
JBL
FE
PHM
CW
STE
ES
WSM
ASTS
DVN
CPNG
CINF
MKL
ON
GIS
ARES
AVB
EXE
FLEX
AWK
FLUT
FSLR
CHD
LDOS
LUV
DRI
CASY
DLTR
CHRW
EIX
EQR
FTI
HUM
STZ
VLTO
ZM
LEN
TROW
LH
LYV
WAT
EXPD
WWD
IP
NVR
OMC
EFX
CTRA
RGLD
BR
CSGP
QSR
CMS
DOW
PSTG
ILMN
SW
RBA
KEY
PFG
Q
DGX
BRO
CNC
NI
RDDT
VRSN
AMCR
KHC
UTHR
USFD
WRB
ALB
CPAY
ALAB
PKG
GPC
NVT
SNA
SBAC
TPL
WY
XPO
HEIA
RKT
EXAS
NTAP
BWXT
BURL
DD
ZS
SGI
FCNCA
L
BAM
FWONK
LULU
IFF
TSN
PTC
ATI
SCCO
EVRG
HPQ
CHTR
LVS
RS
PODD
ROL
TEAM
BALL
FTV
JBHT
ZBH
LNT
ENTG
APTV
AFRM
THC
HII
DECK
GPN
HOLX
RVMD
CDW
WST
RPRX
CRS
LII
INCY
SUI
MKC
VTRS
RBC
AA
TXT
INVH
FFIV
ESS
ITT
J
COO
EWBC
NLY
MKSI
APG
BG
MAA
JLL
SSNC
PNR
TWLO
TLN
MTZ
IEX
TRMB
CSL
SMCI
CG
WPC
PFGC
NDSN
MRNA
CF
FOXA
GGG
LECO
WCC
AVY
TOL
PNFP
TYL
ALLE
MAS
CLX
FNF
HEI
MTSI
RPM
QXO
TKO
EG
KIM
CACI
BLD
LYB
WSO
OKTA
RL
NBIX
MLI
PEN
EQH
RGA
RNR
AKAM
CLH
TRU
IONS
REG
CCK
TOST
UNM
HST
FHN
GDDY
DTM
VIK
DKS
DKNG
BLDR
DPZ
BJ
SNX
ACM
BBY
MEDP
SWK
HAS
HUBS
SF
OHI
PINS
TXRH
EVR
JKHY
GEN
TTD
ELS
UDR
IT
AIZ
GLPI
DCI
ROKU
AGNC
WBS
GL
ELAN
ZBRA
RVTY
ALLY
TW
NYT
CPT
EXEL
OVV
AES
DOC
UHS
RRX
SCI
SOLV
LSCC
RIVN
LAMR
PNW
WMS
GWRE
PR
DAY
SJM
BMRN
WTRG
ALGN
FIVE
CNM
QGEN
BWA
FLS
SOLS
OC
SSB
AIT
AMH
OSK
WTFC
TTEK
GNRC
TECH
DT
EPAM
BAX
BAH
W
NCLH
GME
ARMK
SN
BPOP
JAZZ
SAIA
BXP
CRL
CNH
AR
GMED
ONTO
IVZ
WAL
AYI
MOH
ONON
REXR
Z
NWSA
NTNX
FOX
EGP
HALO
TTC
ALSN
APA
AAL
EHC
KNX
DOCU
ARE
CR
ZION
ORI
CAG
MOS
COLB
VMI
HLI
JEF
OGE
COKE
AOS
UGI
PRI
DINO
EMN
LKQ
AMG
AFG
SEIC
FRT
SWKS
KNSL
RRC
CUBE
FDS
CFLT
LAD
TAP
BEN
POOL
WYNN
MP
ROIV
ATR
DOX
CELH
CFR
BRX
U
R
MANH
XP
AWI
AXS
CLF
HSIC
LFUS
RGEN
MUSA
ADC
NNN
SSD
MIDD
IOT
INGR
WING
PLNT
DAR
NFG
OMF
AGCO
VFC
OWL
FR
VOYA
EXP
ACI
ARW
HRL
STAG
AVTR
IDA
MTCH
FND
CBSH
VNOM
CGNX
AXTA
NOV
FBIN
MGM
MSA
RBRK
LNC
KMX
WFRD
TPG
MAT
RYN
SITE
ESAB
KEX
QRVO
LYFT
AL
GXO
FNB
SFM
HXL
ESI
MHK
GAP
OLLI
PB
TIGO
PAYC
H
AAON
CRUS
MASI
AM
LW
ALK
FAF
LEA
THG
G
RAL
CART
STWD
JHG
BROS
CHE
THO
CHDN
CAVA
GTES
SEE
MKTX
TKR
SARO
NXST
PCOR
BIO
MTG
AN
M
VNT
CHRD
LPX
KRMN
LSTR
SLM
CHWY
RITM
BEPC
AMTM
PCTY
GNTX
HLNE
BC
WH
AVT
LBRDK
KBR
VNO
HR
TEM
AS
FCN
WTM
CPB
MTDR
ESTC
UHALB
CE
AMKR
WEX
OZK
ETSY
OLED
DVA
EXLS
KD
RLI
BFAM
ST
POST
BSY
SON
CROX
HRB
ENPH
PRMB
PATH
RYAN
BYD
LAZ
AUR
ECG
ALGM
BBWI
SAIC
DBX
TREX
MTN
MRP
WHR
MSGS
LOPE
TFX
DOCS
DUOL
ELF
VSNT
TNL
BRKR
VVV
GTLB
MDU
MORN
CZR
CUZ
BFB
CCC
NEU
GFS
EPR
APPF
YETI
AGO
ADT
MSM
KRC
S
SIRI
CORT
NVST
DLB
SLGN
BHF
LLYVK
GPK
SHC
NWS
QS
COLD
PSN
FOUR
JHX
WSC
PEGA
BILL
FHB
FRPT
VIRT
RHI
DRS
EEFT
VKTX
CWEN
HAYW
BOKF
PVH
WLK
RH
LOAR
PAG
SMG
HIW
ZG
ASH
BRBR
IAC
CRCL
CHH
HHH
OLN
TDC
MPT
WU
CXT
LINE
IPGP
GLOB
APLS
DXC
XRAY
UI
KMPR
PK
HOG
CACC
NSA
HUN
RARE
CAR
INSP
RNG
FRHC
OGN
FLO
FMC
NCNO
BIRK
DDS
DJT
FWONA
PENN
PRGO
GTM
IRDM
SRPT
NWL
LBTYA
SAM
PPC
SMMT
CNXC
MAN
FIGR
LBTYK
LLYVA
COLM
SEB
BFA
SNDR
WEN
DV
LCID
ACHC
COTY
UAA
GLIBK
UA
CNA
CWENA
REYN
SFD
LENB
BLSH
UWMC
CERT
SAIL
TFSL
CLVT
LBRDA
NIQ
CAI
UHAL
INGM
FRMI
GLIBA
--
BE
NXT
KTOS
CRDO
FN
SATS
HL
GH
CDE
IONQ
BBIO
STRL
TTMI
DY
AVAV
RMBS
MOD
SPXC
AEIS
ENSG
ARWR
GTLS
UMBF
MOGA
CMC
MDGL
ONB
APLD
UEC
OKLO
JBTM
RNA
PRIM
IDCC
WTS
CTRE
AHR
SANM
LUMN
ORA
JXN
COMP
AXSM
SMTC
PRAX
SITM
CYTK
FLR
EAT
QBTS
ZWS
ENS
IBP
TEX
HQY
KRYS
PCVX
FCFS
GBCI
FSS
CWAN
GATX
GKOS
VLY
CWST
TRNO
UFPI
HWC
ESE
UBSI
TMHC
MIR
EPRT
TXNM
ESNT
RHP
PIPR
FORM
PTCT
RGTI
AUB
POR
RYTM
VIAV
ACA
PL
HOMB
HUT
BOOT
ABCB
BCPC
ALKS
ROAD
SNEX
JOBY
BKH
GVA
PLXS
SWX
VSAT
OPCH
NUVL
AX
RIOT
SIGI
CIFR
BCO
HIMS
NJR
KRG
MMS
MATX
NPO
COGT
MRCY
IRTC
CORZ
AROC
AGX
MTH
ATMU
HRI
CNX
LMND
PTGX
SR
NOVT
BDC
CRNX
TCBI
OGS
EBC
MAC
RDNT
ASB
HCC
LEU
MMSI
ANF
REZI
PECO
QLYS
RIG
MGY
CNR
ITRI
NE
TDS
TMDX
ACHR
CRSP
ABG
VSEC
WULF
SLAB
URBN
FFIN
EOSE
RDN
LTH
LNTH
STEP
LAUR
INDV
BMI
SBRA
BTSG
KYMR
SFBS
POWL
UCB
TGTX
SKY
BTU
MIRM
AIR
HASI
PATK
NWE
PI
GPI
CSW
MWA
FTDR
FOLD
FLG
INDB
MC
VSCO
MUR
KNF
OSIS
CNO
RUN
RUSHA
LBRT
ACIW
SKYW
MYRG
ADMA
VISN
IBOC
DOCN
CRC
FULT
IRT
SRRK
WHD
FELE
SXT
ASO
WSFS
ALHC
KAI
LGND
AEO
ENVA
VICR
BKU
IESC
OUT
CBT
NHI
CVCO
AZZ
KBH
PSMT
CALM
PJT
PRM
GHC
GRAL
RNST
BKD
FBP
CVLT
VAL
TPC
SHAK
SIG
ICUI
LRN
WK
LIVN
SKT
CELC
PII
BNL
QTWO
LCII
ATGE
CDP
DAN
KFY
KGS
MHO
CATY
EXPO
WSBC
KTB
FIBK
AVNT
FUL
DORM
HP
OTTR
CBU
GNW
BOX
AVA
CSTM
MARA
ZETA
BGC
TERN
UPST
SYNA
WDFC
MZTI
GPOR
TDW
BCC
PLMR
GFF
XENE
BXMT
PBH
CLSK
GSAT
HAE
SPSC
RRR
SOUN
OII
HNI
ACMR
OPLN
ACAD
VCTR
VRNS
FFBC
SLG
BOH
NMIH
AAP
SHOO
HUBG
TGNA
MTRN
CPK
SFNC
LQDA
SBCF
SM
SXI
ITGR
VCYT
UNF
LXP
CGON
MGEE
KLIC
DNOW
STNG
VRRM
CALX
CPRX
GTX
ARQT
PBF
DNLI
APAM
MGRC
PFS
TPH
HURN
NATL
ABM
AAOI
CAKE
AWR
HE
TWST
ADPT
COCO
HGV
GOLF
IDYA
OSCR
GT
YOU
DBRG
PFSI
APLE
TVTX
PTEN
KMT
PHIN
XMTR
WAY
TOWN
CVBF
CENX
DIOD
WAFD
BEAM
AKR
VC
APGE
CON
SPHR
CWT
TBBK
ACLS
PRVA
TARS
SUPN
CUBI
UE
RXO
WRBY
BANC
TRMK
FRME
NGVT
PRK
CNK
VRDN
POWI
BBT
IMNM
JOE
VSH
PPTA
FBK
FCPT
VERA
CC
AMR
HWKN
ATRO
CARG
AMBA
MCY
NMRK
SDRL
INSW
TENB
FBNC
OI
PLUG
SEI
IVT
ARCB
MSGE
CURB
ACLX
CPRI
UNFI
NOG
DYN
BANF
TRN
NBTB
ATKR
NSIT
LASR
CHEF
BL
BELFB
HLIO
SYRE
USAR
CRGY
PTON
SMR
BANR
HI
PLUS
UPWK
NEOG
CTRI
KALU
GRBK
CSGS
NTB
KWR
WERN
BUSE
EPAC
TPB
AGYS
EFSC
CASH
ALRM
AMRX
ASGN
ANDE
MTX
LUNR
BBAI
EYE
GEO
TXG
IE
CWK
PRDO
OMCL
RELY
CECO
KN
FLNC
SLNO
IOSP
UCTT
WT
NTCT
DX
PLAB
BHE
EWTX
ALG
WD
EXTR
IRON
NIC
CXW
KSS
TIC
FCF
PARR
OSW
HLMN
DRH
HMN
ARR
QUBT
NWN
ADEA
ADUS
OFG
AVDL
NWBI
CALY
FRSH
QDEL
BUR
BFH
STC
TILE
NHC
UFPT
MNKD
GNL
BLKB
IBRX
AXL
VCEL
STRA
DK
EVTC
ARDX
LGN
LION
ERAS
LC
ATRC
KNTK
ROG
BULL
GEF
CBZ
WGS
AUPH
MD
SNDX
IMVT
LMAT
DBD
WOR
VECO
WLDN
DXPE
SYBT
STEL
IPAR
DAVE
AORT
SONO
BATRK
PGNY
HLF
ATEC
RCUS
HTH
ARRY
TNET
CHCO
HTO
ADNT
CNS
PAYO
PRGS
CCS
FUN
STBA
NRIX
HCI
SHLS
CRK
INTA
INOD
DFTX
DCO
BLBD
CLMT
JBLU
AIN
SLVM
NBHC
GTY
MBC
SBH
LEG
CLDX
ICFI
DGII
HRMY
LTC
PACS
SEM
TCBK
SHO
NEO
SPNT
BRZE
AMPX
SPB
MGNI
WVE
AGM
SKWD
OCUL
GBX
SMPL
NTST
RSI
BCRX
AXGN
TTI
AGIO
HOPE
OLMA
IMAX
PRCT
TALO
RXRX
BKE
DVAX
AVPT
LZB
THR
QCRH
GABC
NNI
ROCK
LKFN
ALMS
ARI
YELP
VVX
STOK
NSSC
CRVL
CENTA
CTS
ALEX
AZTA
HROW
FTRE
VAC
BRSL
COLL
TFIN
MLYS
MQ
LOB
WS
REAL
NVRI
SGHC
XHR
BWIN
RCAT
ANIP
WKC
RAMP
DCOM
XPRO
NVTS
NSP
ENR
MLKN
NUVB
TRIP
WWW
GSHD
ZD
MXL
TNC
DEI
UVV
AAMI
PEB
LNN
NN
AI
IIPR
HCSG
UNIT
SILA
GPGI
XPEL
COHU
NTLA
OBK
ALGT
CNOB
TGLS
CMPR
TNDM
FLYW
PWP
ORKA
BFC
TNGX
UTI
PRG
AMSC
DHC
FDP
WGO
CRI
WINA
LADR
VYX
INVA
FIVN
SRCE
HG
DNTH
NESR
AMLX
VTOL
ARLO
PCT
PRLB
ENOV
USLM
TWO
ABR
SCL
ACVA
LIF
ECVT
ECPG
PRA
NVAX
THS
JJSF
UMH
WABC
ATEN
FSLY
RLAY
ACT
USPH
CRVS
DLX
NVCR
ALKT
ASTE
TE
NNE
EFC
CDRE
DFIN
CNMD
KW
TRUP
VRE
LFST
MCRI
PEBO
SAFT
WLY
NPKI
CCOI
ZYME
PBI
HLX
GRC
ORC
IMKTA
CCB
WTTR
UAMY
CRAI
XERS
OCFC
TMP
PZZA
LPG
MBX
VERX
ENVX
MBIN
SGRY
HLIT
LGIH
TRS
OUST
CSTL
GIII
RVLV
PMT
RLJ
CDNA
SFL
ELVN
CSR
BHVN
EIG
PDM
BY
TSHA
OSBC
UVSP
CIM
TRVI
SMA
GCT
UPBD
SEZL
MAZE
ICHR
GLDD
MFA
APPN
AMRC
AMPH
AHCO
CTBI
VRTS
UPB
ALH
GOLD
FG
SCSC
REX
LILAK
NBR
FA
SBSI
JBGS
PNTG
BV
AAT
FMBH
GLUE
WMK
INVX
DEA
AMAL
EYPT
CAPR
PENG
SKYT
FIGS
PGY
PUMP
ESRT
THRM
SNCY
PRKS
LMB
ANAB
MIAX
LZ
DRVN
BLFS
AESI
PCRX
PDFS
DAKT
MSEX
PAR
VITL
AMWD
NBN
HFWA
TDOC
ALNT
FWRG
CLB
CMP
JBI
BBSI
STAA
CFFN
BHRB
MCB
SAH
TRST
EPC
ARVN
BJRI
GO
NX
EVLV
SMP
EE
CLOV
MBWM
HBNC
DAWN
ASTH
PLOW
FIZZ
PGEN
METC
FBRT
NAT
NBBK
UTL
XNCR
COUR
HAFC
BFST
PAHC
ESQ
RHLD
TROX
CMPX
GPRE
AMTB
RDW
ESPR
CCNE
CAC
APOG
TDAY
AIV
UVE
GERN
RYI
GBTG
IOVA
PD
SAFE
HTBK
TYRA
CPF
IRMD
THFF
ASAN
NB
SVRA
KOD
LINC
OMER
PKST
GHM
BRSP
UFCS
VSTS
RAPP
MYE
MATW
JBIO
EGBN
MRTN
IBCP
INBX
CWH
AMN
MOFG
AEHR
BFLY
MTUS
IRWD
EXPI
FOXF
MEG
IDT
TBPH
INDI
ROOT
AMPL
KE
ERII
SDGR
BKSY
BBW
URGN
UTZ
RWT
EQBK
IART
PRSU
HTB
LQDT
NAVI
APEI
DJCO
PHR
ORIC
SANA
MCHB
CVI
SCHL
AMSF
CGEM
CBRL
GRDN
ADTN
ORRF
AMC
SION
RPD
NEXT
MATV
CBL
NPK
CNXN
TR
SXC
PLPC
PSIX
IVR
SLDP
VIR
CNNE
CXM
ADAM
SERV
GNK
FSBC
NXRT
LIND
FISI
KURA
WSR
PFBC
MPB
ALIT
AVBP
KOS
WASH
AMBP
HRTG
TRTX
BKV
IIIN
SMBC
NWPX
ANNX
GDOT
RIGL
EMBC
SG
FIP
VPG
RBCAA
BZH
SIBN
KFRC
SHBI
CCBG
SMBK
QNST
TCMD
SOC
FWRD
MBUU
ABUS
BTBT
KALV
STGW
AIOT
MMI
FCBC
PRCH
RUM
SEMR
CRMD
ODC
GSM
JBSS
CASS
HTZ
EBS
CTLP
AHL
MCBS
AVAH
AROW
CMCO
CARS
SPRY
CTKB
HZO
HNRG
CSV
MDXG
MNRO
LYTS
JANX
FUBO
VTS
SHEN
IDR
ALRS
AVNS
SD
ASPI
PX
TALK
BXC
DC
PVLA
AVO
VREX
CWCO
TRNS
BBNX
KOP
BHB
AHH
ARHS
NTGR
HOV
EU
EVER
PACB
AOSL
MCW
MAMA
ACEL
SPFI
RR
SENEA
PHAT
NRIM
AEBI
CPS
TCBX
RUSHB
ALX
SEPN
HTFL
PGC
GSBC
CTO
CBLL
DFH
FOR
GCMG
BCAX
HIPO
SFIX
KROS
EGY
FLY
SBGI
APPS
EHAB
FLGT
PLAY
YEXT
DIN
NUTX
ETD
NFBK
RGR
TREE
UHT
FFIC
GOSS
HIFS
FSUN
OIS
BLMN
MVST
GDEN
REPL
OPK
ZEUS
OXM
CARE
ACNB
WLFC
SLS
RYAM
PFIS
RGNX
GOOD
OFIX
NUS
BSRR
SWBI
LXU
ZVRA
FRGE
MSBI
TDUP
TWI
ORN
FET
RES
IIIV
ABAT
FBIZ
AEVA
FMNB
KMTS
MYGN
HSTM
CHCT
NRDS
INN
LXEO
CEVA
KOPN
GDYN
HTLD
MTW
ARKO
BDN
ALT
CLBK
CLMB
FPI
BIOA
BWMN
PRAA
MLR
SFST
PSNL
CIVB
SABR
KREF
MLAB
GMRE
CABO
SLDE
ASIX
EBF
CVLG
KRNY
FULC
ULCC
RDVT
CYRX
SSTK
KRUS
GIC
UDMY
LTBR
FLOC
WNC
VNDA
HPP
HBCP
OPTU
YORW
AIP
ANGI
AQST
PKE
GEVO
DHIL
IMXI
MAGN
CAL
COFS
NATR
MITK
TIPT
CERS
ABSI
PSTL
CWBC
BOW
UNTY
WTBA
CCSI
CRNC
CVGW
SPT
HY
GEFB
CODI
RRBI
VOYG
BLND
ANGO
HCKT
NXDR
SVV
BBBY
BWB
CYH
FFWM
LBRX
LAB
NPCE
HELE
BCAL
OSPN
GLRE
BMRC
NABL
OBT
LXFR
GTN
CTOS
OLP
ITIC
CLNE
RBB
EVGO
REPX
ETON
HBT
SLDB
PRTA
IHRT
FMAO
DRUG
JACK
OEC
NAVN
FDMT
PRME
CBNK
FRBA
BVS
MTRX
ZBIO
BAND
MOV
WEAV
MH
IPI
CZNC
CBAN
ENTA
BFS
EVH
CLPT
PTLO
AVXL
KODK
BWFG
FEIM
AKBA
MGTX
RM
SCVL
MRVI
WRLD
BCML
TITN
ACCO
DNA
LAND
IBEX
NEWT
EVEX
MGPI
HVT
SATL
NGS
CLDT
CENT
PKBK
VLGEA
NGVC
MCFT
BATRA
MVBF
MCS
CLFD
GRPN
BGS
TRC
GRND
ADCT
VSTM
STRT
TRDA
EB
SRTA
ZUMZ
FNLC
DGICA
GOGO
SITC
FVR
NECB
KELYA
SVC
PDLB
CTGO
MAX
ACRS
RNGR
PLBC
NPB
CZFS
CATX
FRST
FSBW
TSBK
SPIR
PBYI
NMAX
NWFL
NVEC
NLOP
MNPR
FSTR
HLLY
ISTR
RC
MBI
NAGE
ALDX
ACIC
ABX
ILPT
IBTA
TLS
DCTH
WSBF
GNE
ATLC
HDSN
NATH
AVIR
CDZI
RXST
GBFH
BYND
RCKT
QTRX
ONIT
PCB
GCO
KIDS
ONTF
ACRE
CCRN
DMAC
SIGA
SWIM
MPLT
ATEX
BELFA
DDD
MEI
ORGO
LOCO
CIA
KFS
BOC
BRBS
OOMA
BH
ALLO
DSGR
HYLN
SGHT
MITT
ATLO
OSG
FRPH
XRX
PESI
JOUT
JRVR
VMD
GRNT
FTK
JMSB
RBBN
MEC
DSGN
ATNI
CADL
SLP
PLSE
PANL
PUBM
MBCN
EOLS
BLFY
TECX
SMC
CLW
AMCX
AURA
AVNW
PAL
RZLT
CMTG
XOMA
RMR
SPOK
OPFI
INR
BYRN
FVCB
ASLE
XPER
LENZ
NFE
RPAY
CRSR
LMNR
CHRS
LILA
NCMI
SYM
